PING 198.51.100.100 (198.51.100.100) 1232(1260) bytes of data.
From 192.168.10.33: icmp_seq=1 Redirect Host(New nexthop: 192.168.10.44)
From 192.168.10.33: icmp_seq=2 Redirect Host(New nexthop: 192.168.10.44)
From 192.168.10.33: icmp_seq=3 Redirect Host(New nexthop: 192.168.10.44)
From 192.168.10.33: icmp_seq=4 Redirect Host(New nexthop: 192.168.10.44)
From 192.168.10.66 icmp_seq=1 Destination Host Unreachable
From 192.168.10.66 icmp_seq=2 Destination Host Unreachable
From 192.168.10.66 icmp_seq=3 Destination Host Unreachable
From 192.168.10.66 icmp_seq=4 Destination Host Unreachable
From 192.168.10.33: icmp_seq=5 Redirect Host(New nexthop: 192.168.10.44)
1240 bytes from 198.51.100.100: icmp_seq=5 ttl=53 time=116 ms
From 192.168.10.33: icmp_seq=6 Redirect Host(New nexthop: 192.168.10.44)
1240 bytes from 198.51.100.100: icmp_seq=6 ttl=53 time=136 ms
1240 bytes from 198.51.100.100: icmp_seq=7 ttl=53 time=110 ms
From 192.168.10.33: icmp_seq=8 Redirect Host(New nexthop: 192.168.10.44)
1240 bytes from 198.51.100.100: icmp_seq=8 ttl=53 time=110 ms
1240 bytes from 198.51.100.100: icmp_seq=9 ttl=53 time=90.2 ms
1240 bytes from 198.51.100.100: icmp_seq=10 ttl=53 time=109 ms
From 192.168.10.33: icmp_seq=11 Redirect Host(New nexthop: 192.168.10.44)
1240 bytes from 198.51.100.100: icmp_seq=11 ttl=53 time=94.5 ms
1240 bytes from 198.51.100.100: icmp_seq=12 ttl=53 time=88.7 ms
1240 bytes from 198.51.100.100: icmp_seq=14 ttl=53 time=117 ms
1240 bytes from 198.51.100.100: icmp_seq=15 ttl=53 time=90.0 ms
1240 bytes from 198.51.100.100: icmp_seq=16 ttl=53 time=125 ms
From 192.168.10.33: icmp_seq=17 Redirect Host(New nexthop: 192.168.10.44)
1240 bytes from 198.51.100.100: icmp_seq=17 ttl=53 time=94.3 ms
1240 bytes from 198.51.100.100: icmp_seq=18 ttl=53 time=95.9 ms
1240 bytes from 198.51.100.100: icmp_seq=19 ttl=53 time=120 ms
1240 bytes from 198.51.100.100: icmp_seq=20 ttl=53 time=110 ms
1240 bytes from 198.51.100.100: icmp_seq=21 ttl=53 time=89.8 ms
1240 bytes from 198.51.100.100: icmp_seq=22 ttl=53 time=82.6 ms
1240 bytes from 198.51.100.100: icmp_seq=23 ttl=53 time=81.4 ms
1240 bytes from 198.51.100.100: icmp_seq=24 ttl=53 time=67.9 ms
1240 bytes from 198.51.100.100: icmp_seq=25 ttl=53 time=72.5 ms
1240 bytes from 198.51.100.100: icmp_seq=26 ttl=53 time=84.3 ms
1240 bytes from 198.51.100.100: icmp_seq=27 ttl=53 time=84.7 ms
1240 bytes from 198.51.100.100: icmp_seq=28 ttl=53 time=107 ms
1240 bytes from 198.51.100.100: icmp_seq=29 ttl=53 time=240 ms
1240 bytes from 198.51.100.100: icmp_seq=30 ttl=53 time=60.8 ms
1240 bytes from 198.51.100.100: icmp_seq=31 ttl=53 time=88.5 ms
1240 bytes from 198.51.100.100: icmp_seq=32 ttl=53 time=50.1 ms
1240 bytes from 198.51.100.100: icmp_seq=33 ttl=53 time=53.0 ms
1240 bytes from 198.51.100.100: icmp_seq=34 ttl=53 time=202 ms
1240 bytes from 198.51.100.100: icmp_seq=35 ttl=53 time=70.3 ms
1240 bytes from 198.51.100.100: icmp_seq=36 ttl=53 time=39.0 ms
1240 bytes from 198.51.100.100: icmp_seq=37 ttl=53 time=42.3 ms
1240 bytes from 198.51.100.100: icmp_seq=38 ttl=53 time=77.4 ms
1240 bytes from 198.51.100.100: icmp_seq=39 ttl=53 time=77.0 ms
1240 bytes from 198.51.100.100: icmp_seq=40 ttl=53 time=57.8 ms
1240 bytes from 198.51.100.100: icmp_seq=41 ttl=53 time=40.7 ms
1240 bytes from 198.51.100.100: icmp_seq=43 ttl=53 time=110 ms
1240 bytes from 198.51.100.100: icmp_seq=44 ttl=53 time=69.7 ms
1240 bytes from 198.51.100.100: icmp_seq=45 ttl=53 time=94.0 ms
1240 bytes from 198.51.100.100: icmp_seq=46 ttl=53 time=93.1 ms
1240 bytes from 198.51.100.100: icmp_seq=47 ttl=53 time=104 ms
1240 bytes from 198.51.100.100: icmp_seq=48 ttl=53 time=53.4 ms
1240 bytes from 198.51.100.100: icmp_seq=49 ttl=53 time=79.4 ms
1240 bytes from 198.51.100.100: icmp_seq=50 ttl=53 time=52.1 ms
1240 bytes from 198.51.100.100: icmp_seq=51 ttl=53 time=62.2 ms
1240 bytes from 198.51.100.100: icmp_seq=52 ttl=53 time=41.8 ms
1240 bytes from 198.51.100.100: icmp_seq=53 ttl=53 time=42.8 ms
