PING 198.51.100.100 (198.51.100.100) 1232(1260) bytes of data.
From 192.168.10.22: icmp_seq=1 Redirect Host(New nexthop: 192.168.10.33)
From 192.168.10.22: icmp_seq=2 Redirect Host(New nexthop: 192.168.10.33)
From 192.168.10.22: icmp_seq=3 Redirect Host(New nexthop: 192.168.10.33)
From 192.168.10.22: icmp_seq=4 Redirect Host(New nexthop: 192.168.10.33)
From 192.168.10.22: icmp_seq=5 Redirect Host(New nexthop: 192.168.10.33)
1240 bytes from 198.51.100.100: icmp_seq=5 ttl=51 time=202 ms
From 192.168.10.22: icmp_seq=6 Redirect Host(New nexthop: 192.168.10.33)
1240 bytes from 198.51.100.100: icmp_seq=6 ttl=51 time=154 ms
1240 bytes from 198.51.100.100: icmp_seq=7 ttl=51 time=151 ms
From 192.168.10.22: icmp_seq=8 Redirect Host(New nexthop: 192.168.10.33)
1240 bytes from 198.51.100.100: icmp_seq=8 ttl=51 time=176 ms
1240 bytes from 198.51.100.100: icmp_seq=9 ttl=51 time=126 ms
1240 bytes from 198.51.100.100: icmp_seq=10 ttl=51 time=183 ms
From 192.168.10.22: icmp_seq=12 Redirect Host(New nexthop: 192.168.10.33)
1240 bytes from 198.51.100.100: icmp_seq=15 ttl=51 time=109 ms
1240 bytes from 198.51.100.100: icmp_seq=16 ttl=51 time=117 ms
1240 bytes from 198.51.100.100: icmp_seq=17 ttl=51 time=113 ms
From 192.168.10.22: icmp_seq=18 Redirect Host(New nexthop: 192.168.10.33)
1240 bytes from 198.51.100.100: icmp_seq=18 ttl=51 time=114 ms
1240 bytes from 198.51.100.100: icmp_seq=19 ttl=51 time=99.1 ms
1240 bytes from 198.51.100.100: icmp_seq=20 ttl=51 time=105 ms
1240 bytes from 198.51.100.100: icmp_seq=21 ttl=51 time=119 ms
1240 bytes from 198.51.100.100: icmp_seq=22 ttl=51 time=102 ms
1240 bytes from 198.51.100.100: icmp_seq=23 ttl=51 time=105 ms
1240 bytes from 198.51.100.100: icmp_seq=24 ttl=51 time=94.0 ms
1240 bytes from 198.51.100.100: icmp_seq=25 ttl=51 time=98.6 ms
1240 bytes from 198.51.100.100: icmp_seq=26 ttl=51 time=102 ms
1240 bytes from 198.51.100.100: icmp_seq=27 ttl=51 time=107 ms
1240 bytes from 198.51.100.100: icmp_seq=28 ttl=51 time=92.5 ms
1240 bytes from 198.51.100.100: icmp_seq=29 ttl=51 time=72.5 ms
1240 bytes from 198.51.100.100: icmp_seq=31 ttl=51 time=142 ms
1240 bytes from 198.51.100.100: icmp_seq=32 ttl=51 time=120 ms
1240 bytes from 198.51.100.100: icmp_seq=33 ttl=51 time=92.0 ms
1240 bytes from 198.51.100.100: icmp_seq=34 ttl=51 time=92.0 ms
1240 bytes from 198.51.100.100: icmp_seq=35 ttl=51 time=369 ms
1240 bytes from 198.51.100.100: icmp_seq=37 ttl=51 time=82.0 ms
1240 bytes from 198.51.100.100: icmp_seq=38 ttl=51 time=99.2 ms
1240 bytes from 198.51.100.100: icmp_seq=39 ttl=51 time=88.1 ms
1240 bytes from 198.51.100.100: icmp_seq=40 ttl=51 time=87.4 ms
1240 bytes from 198.51.100.100: icmp_seq=41 ttl=51 time=72.0 ms
1240 bytes from 198.51.100.100: icmp_seq=42 ttl=51 time=86.2 ms
1240 bytes from 198.51.100.100: icmp_seq=43 ttl=51 time=94.9 ms
1240 bytes from 198.51.100.100: icmp_seq=44 ttl=51 time=64.4 ms
1240 bytes from 198.51.100.100: icmp_seq=45 ttl=51 time=76.4 ms
1240 bytes from 198.51.100.100: icmp_seq=46 ttl=51 time=44.0 ms
1240 bytes from 198.51.100.100: icmp_seq=47 ttl=51 time=72.3 ms
1240 bytes from 198.51.100.100: icmp_seq=48 ttl=51 time=75.7 ms
1240 bytes from 198.51.100.100: icmp_seq=49 ttl=51 time=78.2 ms
1240 bytes from 198.51.100.100: icmp_seq=50 ttl=51 time=115 ms
1240 bytes from 198.51.100.100: icmp_seq=51 ttl=51 time=123 ms
1240 bytes from 198.51.100.100: icmp_seq=52 ttl=51 time=59.9 ms
1240 bytes from 198.51.100.100: icmp_seq=53 ttl=51 time=179 ms
1240 bytes from 198.51.100.100: icmp_seq=55 ttl=51 time=57.5 ms
1240 bytes from 198.51.100.100: icmp_seq=56 ttl=51 time=56.8 ms
1240 bytes from 198.51.100.100: icmp_seq=58 ttl=51 time=99.2 ms
1240 bytes from 198.51.100.100: icmp_seq=59 ttl=51 time=69.5 ms
1240 bytes from 198.51.100.100: icmp_seq=60 ttl=51 time=74.7 ms
1240 bytes from 198.51.100.100: icmp_seq=61 ttl=51 time=69.7 ms
1240 bytes from 198.51.100.100: icmp_seq=62 ttl=51 time=29.4 ms
1240 bytes from 198.51.100.100: icmp_seq=63 ttl=51 time=26.1 ms
1240 bytes from 198.51.100.100: icmp_seq=64 ttl=51 time=83.7 ms
1240 bytes from 198.51.100.100: icmp_seq=65 ttl=51 time=101 ms
1240 bytes from 198.51.100.100: icmp_seq=67 ttl=51 time=54.7 ms
1240 bytes from 198.51.100.100: icmp_seq=68 ttl=51 time=35.0 ms
1240 bytes from 198.51.100.100: icmp_seq=69 ttl=51 time=37.3 ms
1240 bytes from 198.51.100.100: icmp_seq=70 ttl=51 time=49.3 ms
1240 bytes from 198.51.100.100: icmp_seq=71 ttl=51 time=61.6 ms
1240 bytes from 198.51.100.100: icmp_seq=72 ttl=51 time=57.6 ms
1240 bytes from 198.51.100.100: icmp_seq=73 ttl=51 time=48.4 ms
1240 bytes from 198.51.100.100: icmp_seq=74 ttl=51 time=30.5 ms
1240 bytes from 198.51.100.100: icmp_seq=75 ttl=51 time=56.6 ms
1240 bytes from 198.51.100.100: icmp_seq=76 ttl=51 time=57.0 ms
