PING 198.51.100.100 (198.51.100.100) 1232(1260) bytes of data.
From 192.168.10.51: icmp_seq=1 Redirect Host(New nexthop: 192.168.10.41)
From 192.168.10.51: icmp_seq=2 Redirect Host(New nexthop: 192.168.10.41)
From 192.168.10.51: icmp_seq=3 Redirect Host(New nexthop: 192.168.10.41)
From 192.168.10.51: icmp_seq=4 Redirect Host(New nexthop: 192.168.10.41)
From 192.168.10.5 icmp_seq=1 Destination Host Unreachable
From 192.168.10.5 icmp_seq=2 Destination Host Unreachable
From 192.168.10.5 icmp_seq=3 Destination Host Unreachable
From 192.168.10.5 icmp_seq=4 Destination Host Unreachable
From 192.168.10.51: icmp_seq=5 Redirect Host(New nexthop: 192.168.10.41)
1240 bytes from 198.51.100.100: icmp_seq=5 ttl=41 time=158 ms
From 192.168.10.51: icmp_seq=6 Redirect Host(New nexthop: 192.168.10.41)
1240 bytes from 198.51.100.100: icmp_seq=6 ttl=41 time=156 ms
From 192.168.10.51: icmp_seq=8 Redirect Host(New nexthop: 192.168.10.41)
1240 bytes from 198.51.100.100: icmp_seq=8 ttl=41 time=206 ms
1240 bytes from 198.51.100.100: icmp_seq=9 ttl=41 time=210 ms
1240 bytes from 198.51.100.100: icmp_seq=10 ttl=41 time=85.0 ms
From 192.168.10.51: icmp_seq=11 Redirect Host(New nexthop: 192.168.10.41)
1240 bytes from 198.51.100.100: icmp_seq=11 ttl=41 time=256 ms
1240 bytes from 198.51.100.100: icmp_seq=12 ttl=41 time=78.7 ms
1240 bytes from 198.51.100.100: icmp_seq=13 ttl=41 time=63.3 ms
1240 bytes from 198.51.100.100: icmp_seq=14 ttl=41 time=68.3 ms
1240 bytes from 198.51.100.100: icmp_seq=15 ttl=41 time=47.4 ms
1240 bytes from 198.51.100.100: icmp_seq=16 ttl=41 time=44.0 ms
From 192.168.10.51: icmp_seq=17 Redirect Host(New nexthop: 192.168.10.41)
1240 bytes from 198.51.100.100: icmp_seq=17 ttl=41 time=58.7 ms
1240 bytes from 198.51.100.100: icmp_seq=18 ttl=41 time=84.1 ms
1240 bytes from 198.51.100.100: icmp_seq=19 ttl=41 time=112 ms
1240 bytes from 198.51.100.100: icmp_seq=20 ttl=41 time=354 ms
1240 bytes from 198.51.100.100: icmp_seq=21 ttl=41 time=263 ms
1240 bytes from 198.51.100.100: icmp_seq=22 ttl=41 time=57.6 ms
1240 bytes from 198.51.100.100: icmp_seq=23 ttl=41 time=71.0 ms
1240 bytes from 198.51.100.100: icmp_seq=26 ttl=41 time=59.1 ms
1240 bytes from 198.51.100.100: icmp_seq=27 ttl=41 time=35.1 ms
1240 bytes from 198.51.100.100: icmp_seq=28 ttl=41 time=47.6 ms
1240 bytes from 198.51.100.100: icmp_seq=29 ttl=41 time=65.1 ms
1240 bytes from 198.51.100.100: icmp_seq=30 ttl=41 time=78.1 ms
1240 bytes from 198.51.100.100: icmp_seq=31 ttl=41 time=190 ms
1240 bytes from 198.51.100.100: icmp_seq=32 ttl=41 time=56.1 ms
1240 bytes from 198.51.100.100: icmp_seq=33 ttl=41 time=46.9 ms
1240 bytes from 198.51.100.100: icmp_seq=34 ttl=41 time=59.3 ms
1240 bytes from 198.51.100.100: icmp_seq=37 ttl=41 time=219 ms
1240 bytes from 198.51.100.100: icmp_seq=38 ttl=41 time=35.5 ms
