PING 198.51.100.100 (198.51.100.100) 1232(1260) bytes of data.
From 192.168.10.41: icmp_seq=1 Redirect Host(New nexthop: 192.168.10.32)
From 192.168.10.41: icmp_seq=3 Redirect Host(New nexthop: 192.168.10.32)
From 192.168.10.41: icmp_seq=4 Redirect Host(New nexthop: 192.168.10.32)
From 192.168.10.41: icmp_seq=5 Redirect Host(New nexthop: 192.168.10.32)
From 192.168.10.41: icmp_seq=6 Redirect Host(New nexthop: 192.168.10.32)
From 192.168.10.41: icmp_seq=8 Redirect Host(New nexthop: 192.168.10.32)
From 192.168.10.41: icmp_seq=14 Redirect Host(New nexthop: 192.168.10.32)
1240 bytes from 198.51.100.100: icmp_seq=25 ttl=51 time=103 ms
1240 bytes from 198.51.100.100: icmp_seq=31 ttl=51 time=90.2 ms
1240 bytes from 198.51.100.100: icmp_seq=41 ttl=51 time=95.3 ms
1240 bytes from 198.51.100.100: icmp_seq=46 ttl=51 time=75.1 ms
1240 bytes from 198.51.100.100: icmp_seq=71 ttl=51 time=81.5 ms
1240 bytes from 198.51.100.100: icmp_seq=74 ttl=51 time=81.5 ms
1240 bytes from 198.51.100.100: icmp_seq=75 ttl=51 time=79.7 ms
1240 bytes from 198.51.100.100: icmp_seq=76 ttl=51 time=72.5 ms
1240 bytes from 198.51.100.100: icmp_seq=83 ttl=51 time=55.4 ms
1240 bytes from 198.51.100.100: icmp_seq=89 ttl=51 time=71.5 ms
1240 bytes from 198.51.100.100: icmp_seq=121 ttl=51 time=66.5 ms
1240 bytes from 198.51.100.100: icmp_seq=133 ttl=51 time=67.1 ms
1240 bytes from 198.51.100.100: icmp_seq=139 ttl=51 time=94.6 ms
1240 bytes from 198.51.100.100: icmp_seq=144 ttl=51 time=53.7 ms
1240 bytes from 198.51.100.100: icmp_seq=146 ttl=51 time=45.6 ms
1240 bytes from 198.51.100.100: icmp_seq=150 ttl=51 time=48.1 ms
1240 bytes from 198.51.100.100: icmp_seq=192 ttl=51 time=26.2 ms
1240 bytes from 198.51.100.100: icmp_seq=196 ttl=51 time=38.3 ms
1240 bytes from 198.51.100.100: icmp_seq=200 ttl=51 time=25.5 ms
1240 bytes from 198.51.100.100: icmp_seq=205 ttl=51 time=24.8 ms
1240 bytes from 198.51.100.100: icmp_seq=211 ttl=51 time=41.1 ms
1240 bytes from 198.51.100.100: icmp_seq=214 ttl=51 time=47.7 ms
1240 bytes from 198.51.100.100: icmp_seq=217 ttl=51 time=37.0 ms
1240 bytes from 198.51.100.100: icmp_seq=251 ttl=51 time=28.3 ms
1240 bytes from 198.51.100.100: icmp_seq=256 ttl=51 time=62.5 ms
1240 bytes from 198.51.100.100: icmp_seq=257 ttl=51 time=122 ms
1240 bytes from 198.51.100.100: icmp_seq=265 ttl=51 time=26.4 ms
1240 bytes from 198.51.100.100: icmp_seq=294 ttl=51 time=25.2 ms
1240 bytes from 198.51.100.100: icmp_seq=308 ttl=51 time=54.9 ms
1240 bytes from 198.51.100.100: icmp_seq=312 ttl=51 time=36.7 ms
1240 bytes from 198.51.100.100: icmp_seq=315 ttl=51 time=24.4 ms
1240 bytes from 198.51.100.100: icmp_seq=320 ttl=51 time=52.2 ms
1240 bytes from 198.51.100.100: icmp_seq=321 ttl=51 time=55.9 ms
1240 bytes from 198.51.100.100: icmp_seq=360 ttl=51 time=51.9 ms
1240 bytes from 198.51.100.100: icmp_seq=375 ttl=51 time=49.2 ms
1240 bytes from 198.51.100.100: icmp_seq=377 ttl=51 time=45.4 ms
1240 bytes from 198.51.100.100: icmp_seq=381 ttl=51 time=115 ms
1240 bytes from 198.51.100.100: icmp_seq=383 ttl=51 time=68.3 ms
1240 bytes from 198.51.100.100: icmp_seq=414 ttl=51 time=45.0 ms
1240 bytes from 198.51.100.100: icmp_seq=420 ttl=51 time=98.2 ms
1240 bytes from 198.51.100.100: icmp_seq=430 ttl=51 time=50.3 ms
1240 bytes from 198.51.100.100: icmp_seq=437 ttl=51 time=46.2 ms
1240 bytes from 198.51.100.100: icmp_seq=453 ttl=51 time=59.6 ms
1240 bytes from 198.51.100.100: icmp_seq=463 ttl=51 time=33.1 ms
1240 bytes from 198.51.100.100: icmp_seq=466 ttl=51 time=24.8 ms
1240 bytes from 198.51.100.100: icmp_seq=477 ttl=51 time=53.0 ms
1240 bytes from 198.51.100.100: icmp_seq=478 ttl=51 time=26.5 ms
1240 bytes from 198.51.100.100: icmp_seq=487 ttl=51 time=28.7 ms
1240 bytes from 198.51.100.100: icmp_seq=495 ttl=51 time=46.2 ms
1240 bytes from 198.51.100.100: icmp_seq=502 ttl=51 time=115 ms
1240 bytes from 198.51.100.100: icmp_seq=552 ttl=51 time=24.0 ms
1240 bytes from 198.51.100.100: icmp_seq=567 ttl=51 time=62.4 ms
1240 bytes from 198.51.100.100: icmp_seq=572 ttl=51 time=45.6 ms
1240 bytes from 198.51.100.100: icmp_seq=575 ttl=51 time=51.3 ms
1240 bytes from 198.51.100.100: icmp_seq=586 ttl=51 time=23.8 ms
1240 bytes from 198.51.100.100: icmp_seq=587 ttl=51 time=30.3 ms
1240 bytes from 198.51.100.100: icmp_seq=589 ttl=51 time=32.6 ms

--- 198.51.100.100 ping statistics ---
600 packets transmitted, 57 received, 90.5% packet loss, time 611803ms
rtt min/avg/max/mdev = 23.752/55.025/122.338/25.701 ms
