PING 198.51.100.100 (198.51.100.100) 1232(1260) bytes of data.
From 192.168.10.22: icmp_seq=1 Redirect Host(New nexthop: 192.168.10.33)
From 192.168.10.22: icmp_seq=2 Redirect Host(New nexthop: 192.168.10.33)
From 192.168.10.22: icmp_seq=3 Redirect Host(New nexthop: 192.168.10.33)
From 192.168.10.22: icmp_seq=4 Redirect Host(New nexthop: 192.168.10.33)
From 192.168.10.66 icmp_seq=1 Destination Host Unreachable
From 192.168.10.66 icmp_seq=3 Destination Host Unreachable
From 192.168.10.66 icmp_seq=4 Destination Host Unreachable
From 192.168.10.22: icmp_seq=5 Redirect Host(New nexthop: 192.168.10.33)
From 192.168.10.22: icmp_seq=6 Redirect Host(New nexthop: 192.168.10.33)
1240 bytes from 198.51.100.100: icmp_seq=7 ttl=51 time=191 ms
From 192.168.10.22: icmp_seq=8 Redirect Host(New nexthop: 192.168.10.33)
1240 bytes from 198.51.100.100: icmp_seq=8 ttl=51 time=135 ms
1240 bytes from 198.51.100.100: icmp_seq=9 ttl=51 time=147 ms
From 192.168.10.22: icmp_seq=11 Redirect Host(New nexthop: 192.168.10.33)
1240 bytes from 198.51.100.100: icmp_seq=12 ttl=51 time=151 ms
1240 bytes from 198.51.100.100: icmp_seq=13 ttl=51 time=94.5 ms
1240 bytes from 198.51.100.100: icmp_seq=15 ttl=51 time=104 ms
From 192.168.10.22: icmp_seq=16 Redirect Host(New nexthop: 192.168.10.33)
1240 bytes from 198.51.100.100: icmp_seq=18 ttl=51 time=96.2 ms
1240 bytes from 198.51.100.100: icmp_seq=19 ttl=51 time=110 ms
1240 bytes from 198.51.100.100: icmp_seq=20 ttl=51 time=101 ms
1240 bytes from 198.51.100.100: icmp_seq=22 ttl=51 time=132 ms
1240 bytes from 198.51.100.100: icmp_seq=23 ttl=51 time=104 ms
1240 bytes from 198.51.100.100: icmp_seq=24 ttl=51 time=90.8 ms
1240 bytes from 198.51.100.100: icmp_seq=25 ttl=51 time=92.9 ms
1240 bytes from 198.51.100.100: icmp_seq=27 ttl=51 time=82.9 ms
1240 bytes from 198.51.100.100: icmp_seq=28 ttl=51 time=134 ms
1240 bytes from 198.51.100.100: icmp_seq=30 ttl=51 time=78.6 ms
1240 bytes from 198.51.100.100: icmp_seq=31 ttl=51 time=55.3 ms
1240 bytes from 198.51.100.100: icmp_seq=32 ttl=51 time=83.4 ms
1240 bytes from 198.51.100.100: icmp_seq=34 ttl=51 time=90.5 ms
1240 bytes from 198.51.100.100: icmp_seq=36 ttl=51 time=82.0 ms
1240 bytes from 198.51.100.100: icmp_seq=37 ttl=51 time=80.2 ms
1240 bytes from 198.51.100.100: icmp_seq=39 ttl=51 time=99.6 ms
1240 bytes from 198.51.100.100: icmp_seq=40 ttl=51 time=72.5 ms
1240 bytes from 198.51.100.100: icmp_seq=41 ttl=51 time=86.2 ms
1240 bytes from 198.51.100.100: icmp_seq=42 ttl=51 time=84.5 ms
1240 bytes from 198.51.100.100: icmp_seq=43 ttl=51 time=37.4 ms
1240 bytes from 198.51.100.100: icmp_seq=44 ttl=51 time=36.3 ms
1240 bytes from 198.51.100.100: icmp_seq=45 ttl=51 time=67.7 ms
1240 bytes from 198.51.100.100: icmp_seq=46 ttl=51 time=49.4 ms
1240 bytes from 198.51.100.100: icmp_seq=47 ttl=51 time=36.2 ms
1240 bytes from 198.51.100.100: icmp_seq=49 ttl=51 time=46.1 ms
1240 bytes from 198.51.100.100: icmp_seq=50 ttl=51 time=53.3 ms
1240 bytes from 198.51.100.100: icmp_seq=51 ttl=51 time=77.5 ms
1240 bytes from 198.51.100.100: icmp_seq=54 ttl=51 time=77.6 ms
1240 bytes from 198.51.100.100: icmp_seq=57 ttl=51 time=34.1 ms
1240 bytes from 198.51.100.100: icmp_seq=61 ttl=51 time=47.9 ms
1240 bytes from 198.51.100.100: icmp_seq=65 ttl=51 time=101 ms
1240 bytes from 198.51.100.100: icmp_seq=66 ttl=51 time=83.6 ms
1240 bytes from 198.51.100.100: icmp_seq=67 ttl=51 time=28.2 ms
1240 bytes from 198.51.100.100: icmp_seq=68 ttl=51 time=57.2 ms
1240 bytes from 198.51.100.100: icmp_seq=70 ttl=51 time=51.5 ms
1240 bytes from 198.51.100.100: icmp_seq=71 ttl=51 time=30.2 ms
1240 bytes from 198.51.100.100: icmp_seq=72 ttl=51 time=30.0 ms
1240 bytes from 198.51.100.100: icmp_seq=74 ttl=51 time=28.3 ms
1240 bytes from 198.51.100.100: icmp_seq=75 ttl=51 time=52.1 ms
1240 bytes from 198.51.100.100: icmp_seq=77 ttl=51 time=67.5 ms
1240 bytes from 198.51.100.100: icmp_seq=81 ttl=51 time=26.1 ms
1240 bytes from 198.51.100.100: icmp_seq=82 ttl=51 time=40.0 ms
1240 bytes from 198.51.100.100: icmp_seq=83 ttl=51 time=49.2 ms
1240 bytes from 198.51.100.100: icmp_seq=87 ttl=51 time=75.9 ms
1240 bytes from 198.51.100.100: icmp_seq=88 ttl=51 time=28.7 ms
1240 bytes from 198.51.100.100: icmp_seq=89 ttl=51 time=28.7 ms
1240 bytes from 198.51.100.100: icmp_seq=90 ttl=51 time=66.4 ms
1240 bytes from 198.51.100.100: icmp_seq=91 ttl=51 time=54.7 ms
1240 bytes from 198.51.100.100: icmp_seq=95 ttl=51 time=113 ms
1240 bytes from 198.51.100.100: icmp_seq=96 ttl=51 time=42.2 ms
1240 bytes from 198.51.100.100: icmp_seq=97 ttl=51 time=50.5 ms
1240 bytes from 198.51.100.100: icmp_seq=99 ttl=51 time=117 ms
1240 bytes from 198.51.100.100: icmp_seq=109 ttl=51 time=107 ms
1240 bytes from 198.51.100.100: icmp_seq=110 ttl=51 time=53.5 ms
1240 bytes from 198.51.100.100: icmp_seq=112 ttl=51 time=59.4 ms
1240 bytes from 198.51.100.100: icmp_seq=114 ttl=51 time=26.3 ms
1240 bytes from 198.51.100.100: icmp_seq=116 ttl=51 time=58.1 ms
1240 bytes from 198.51.100.100: icmp_seq=117 ttl=51 time=51.4 ms
1240 bytes from 198.51.100.100: icmp_seq=118 ttl=51 time=71.1 ms
1240 bytes from 198.51.100.100: icmp_seq=119 ttl=51 time=25.6 ms
1240 bytes from 198.51.100.100: icmp_seq=120 ttl=51 time=27.0 ms
1240 bytes from 198.51.100.100: icmp_seq=121 ttl=51 time=42.6 ms
1240 bytes from 198.51.100.100: icmp_seq=122 ttl=51 time=66.1 ms
1240 bytes from 198.51.100.100: icmp_seq=123 ttl=51 time=56.1 ms
1240 bytes from 198.51.100.100: icmp_seq=124 ttl=51 time=22.6 ms
1240 bytes from 198.51.100.100: icmp_seq=127 ttl=51 time=24.2 ms
1240 bytes from 198.51.100.100: icmp_seq=132 ttl=51 time=49.4 ms
1240 bytes from 198.51.100.100: icmp_seq=133 ttl=51 time=49.9 ms
1240 bytes from 198.51.100.100: icmp_seq=134 ttl=51 time=77.2 ms
1240 bytes from 198.51.100.100: icmp_seq=138 ttl=51 time=30.4 ms
1240 bytes from 198.51.100.100: icmp_seq=139 ttl=51 time=42.5 ms
1240 bytes from 198.51.100.100: icmp_seq=140 ttl=51 time=46.8 ms
1240 bytes from 198.51.100.100: icmp_seq=141 ttl=51 time=53.7 ms
1240 bytes from 198.51.100.100: icmp_seq=142 ttl=51 time=24.4 ms
1240 bytes from 198.51.100.100: icmp_seq=144 ttl=51 time=30.2 ms
1240 bytes from 198.51.100.100: icmp_seq=146 ttl=51 time=52.4 ms
1240 bytes from 198.51.100.100: icmp_seq=147 ttl=51 time=52.1 ms
