PING 198.51.100.100 (198.51.100.100) 1232(1260) bytes of data.
From 192.168.10.41: icmp_seq=1 Redirect Host(New nexthop: 192.168.10.32)
From 192.168.10.41: icmp_seq=2 Redirect Host(New nexthop: 192.168.10.32)
From 192.168.10.41: icmp_seq=3 Redirect Host(New nexthop: 192.168.10.32)
From 192.168.10.41: icmp_seq=4 Redirect Host(New nexthop: 192.168.10.32)
From 192.168.10.5 icmp_seq=3 Destination Host Unreachable
From 192.168.10.41: icmp_seq=5 Redirect Host(New nexthop: 192.168.10.32)
From 192.168.10.41: icmp_seq=6 Redirect Host(New nexthop: 192.168.10.32)
1240 bytes from 198.51.100.100: icmp_seq=5 ttl=51 time=1228 ms
1240 bytes from 198.51.100.100: icmp_seq=6 ttl=51 time=228 ms
1240 bytes from 198.51.100.100: icmp_seq=7 ttl=51 time=160 ms
From 192.168.10.41: icmp_seq=8 Redirect Host(New nexthop: 192.168.10.32)
1240 bytes from 198.51.100.100: icmp_seq=8 ttl=51 time=136 ms
1240 bytes from 198.51.100.100: icmp_seq=10 ttl=51 time=120 ms
From 192.168.10.41: icmp_seq=12 Redirect Host(New nexthop: 192.168.10.32)
1240 bytes from 198.51.100.100: icmp_seq=12 ttl=51 time=129 ms
1240 bytes from 198.51.100.100: icmp_seq=13 ttl=51 time=141 ms
From 192.168.10.41: icmp_seq=18 Redirect Host(New nexthop: 192.168.10.32)
1240 bytes from 198.51.100.100: icmp_seq=20 ttl=51 time=150 ms
1240 bytes from 198.51.100.100: icmp_seq=21 ttl=51 time=150 ms
1240 bytes from 198.51.100.100: icmp_seq=22 ttl=51 time=147 ms
1240 bytes from 198.51.100.100: icmp_seq=23 ttl=51 time=140 ms
1240 bytes from 198.51.100.100: icmp_seq=24 ttl=51 time=120 ms
1240 bytes from 198.51.100.100: icmp_seq=25 ttl=51 time=118 ms
1240 bytes from 198.51.100.100: icmp_seq=31 ttl=51 time=110 ms
1240 bytes from 198.51.100.100: icmp_seq=33 ttl=51 time=138 ms
1240 bytes from 198.51.100.100: icmp_seq=35 ttl=51 time=108 ms
1240 bytes from 198.51.100.100: icmp_seq=36 ttl=51 time=107 ms
1240 bytes from 198.51.100.100: icmp_seq=37 ttl=51 time=118 ms
1240 bytes from 198.51.100.100: icmp_seq=38 ttl=51 time=101 ms
1240 bytes from 198.51.100.100: icmp_seq=41 ttl=51 time=126 ms
1240 bytes from 198.51.100.100: icmp_seq=42 ttl=51 time=105 ms
1240 bytes from 198.51.100.100: icmp_seq=45 ttl=51 time=109 ms
1240 bytes from 198.51.100.100: icmp_seq=46 ttl=51 time=82.3 ms
1240 bytes from 198.51.100.100: icmp_seq=47 ttl=51 time=97.0 ms
1240 bytes from 198.51.100.100: icmp_seq=52 ttl=51 time=80.7 ms
1240 bytes from 198.51.100.100: icmp_seq=55 ttl=51 time=90.6 ms
1240 bytes from 198.51.100.100: icmp_seq=58 ttl=51 time=79.4 ms
1240 bytes from 198.51.100.100: icmp_seq=59 ttl=51 time=82.2 ms
1240 bytes from 198.51.100.100: icmp_seq=60 ttl=51 time=75.3 ms
1240 bytes from 198.51.100.100: icmp_seq=63 ttl=51 time=76.7 ms
1240 bytes from 198.51.100.100: icmp_seq=68 ttl=51 time=117 ms
1240 bytes from 198.51.100.100: icmp_seq=69 ttl=51 time=169 ms
1240 bytes from 198.51.100.100: icmp_seq=71 ttl=51 time=73.7 ms
1240 bytes from 198.51.100.100: icmp_seq=72 ttl=51 time=48.3 ms
