PING 198.51.100.100 (198.51.100.100) 1232(1260) bytes of data.
From 192.168.10.22: icmp_seq=1 Redirect Host(New nexthop: 192.168.10.33)
From 192.168.10.22: icmp_seq=2 Redirect Host(New nexthop: 192.168.10.33)
From 192.168.10.22: icmp_seq=3 Redirect Host(New nexthop: 192.168.10.33)
From 192.168.10.22: icmp_seq=4 Redirect Host(New nexthop: 192.168.10.33)
From 192.168.10.66 icmp_seq=1 Destination Host Unreachable
From 192.168.10.66 icmp_seq=2 Destination Host Unreachable
From 192.168.10.66 icmp_seq=3 Destination Host Unreachable
From 192.168.10.66 icmp_seq=4 Destination Host Unreachable
From 192.168.10.22: icmp_seq=5 Redirect Host(New nexthop: 192.168.10.33)
From 192.168.10.22: icmp_seq=6 Redirect Host(New nexthop: 192.168.10.33)
1240 bytes from 198.51.100.100: icmp_seq=7 ttl=51 time=130 ms
From 192.168.10.22: icmp_seq=9 Redirect Host(New nexthop: 192.168.10.33)
1240 bytes from 198.51.100.100: icmp_seq=9 ttl=51 time=151 ms
1240 bytes from 198.51.100.100: icmp_seq=10 ttl=51 time=113 ms
1240 bytes from 198.51.100.100: icmp_seq=11 ttl=51 time=111 ms
From 192.168.10.22: icmp_seq=12 Redirect Host(New nexthop: 192.168.10.33)
1240 bytes from 198.51.100.100: icmp_seq=12 ttl=51 time=112 ms
1240 bytes from 198.51.100.100: icmp_seq=14 ttl=51 time=125 ms
1240 bytes from 198.51.100.100: icmp_seq=16 ttl=51 time=144 ms
1240 bytes from 198.51.100.100: icmp_seq=17 ttl=51 time=95.6 ms
From 192.168.10.22: icmp_seq=18 Redirect Host(New nexthop: 192.168.10.33)
1240 bytes from 198.51.100.100: icmp_seq=18 ttl=51 time=132 ms
1240 bytes from 198.51.100.100: icmp_seq=21 ttl=51 time=103 ms
1240 bytes from 198.51.100.100: icmp_seq=25 ttl=51 time=126 ms
1240 bytes from 198.51.100.100: icmp_seq=27 ttl=51 time=107 ms
1240 bytes from 198.51.100.100: icmp_seq=29 ttl=51 time=98.4 ms
1240 bytes from 198.51.100.100: icmp_seq=31 ttl=51 time=131 ms
1240 bytes from 198.51.100.100: icmp_seq=32 ttl=51 time=105 ms
1240 bytes from 198.51.100.100: icmp_seq=35 ttl=51 time=93.4 ms
1240 bytes from 198.51.100.100: icmp_seq=36 ttl=51 time=86.6 ms
1240 bytes from 198.51.100.100: icmp_seq=38 ttl=51 time=83.0 ms
1240 bytes from 198.51.100.100: icmp_seq=39 ttl=51 time=105 ms
1240 bytes from 198.51.100.100: icmp_seq=40 ttl=51 time=106 ms
1240 bytes from 198.51.100.100: icmp_seq=41 ttl=51 time=92.2 ms
1240 bytes from 198.51.100.100: icmp_seq=46 ttl=51 time=78.0 ms
1240 bytes from 198.51.100.100: icmp_seq=47 ttl=51 time=95.3 ms
1240 bytes from 198.51.100.100: icmp_seq=49 ttl=51 time=142 ms
1240 bytes from 198.51.100.100: icmp_seq=52 ttl=51 time=101 ms
1240 bytes from 198.51.100.100: icmp_seq=53 ttl=51 time=97.0 ms
1240 bytes from 198.51.100.100: icmp_seq=60 ttl=51 time=85.3 ms
1240 bytes from 198.51.100.100: icmp_seq=61 ttl=51 time=105 ms
1240 bytes from 198.51.100.100: icmp_seq=62 ttl=51 time=76.5 ms
1240 bytes from 198.51.100.100: icmp_seq=63 ttl=51 time=86.9 ms
1240 bytes from 198.51.100.100: icmp_seq=64 ttl=51 time=86.3 ms
1240 bytes from 198.51.100.100: icmp_seq=65 ttl=51 time=89.8 ms
1240 bytes from 198.51.100.100: icmp_seq=67 ttl=51 time=55.0 ms
1240 bytes from 198.51.100.100: icmp_seq=68 ttl=51 time=72.3 ms
1240 bytes from 198.51.100.100: icmp_seq=69 ttl=51 time=83.9 ms
1240 bytes from 198.51.100.100: icmp_seq=71 ttl=51 time=89.1 ms
