PING 198.51.100.100 (198.51.100.100) 1232(1260) bytes of data.
From 192.168.10.41: icmp_seq=1 Redirect Host(New nexthop: 192.168.10.32)
From 192.168.10.41: icmp_seq=2 Redirect Host(New nexthop: 192.168.10.32)
From 192.168.10.41: icmp_seq=3 Redirect Host(New nexthop: 192.168.10.32)
From 192.168.10.41: icmp_seq=5 Redirect Host(New nexthop: 192.168.10.32)
From 192.168.10.41: icmp_seq=6 Redirect Host(New nexthop: 192.168.10.32)
From 192.168.10.41: icmp_seq=7 Redirect Host(New nexthop: 192.168.10.32)
From 192.168.10.41: icmp_seq=9 Redirect Host(New nexthop: 192.168.10.32)
From 192.168.10.41: icmp_seq=12 Redirect Host(New nexthop: 192.168.10.32)
1240 bytes from 198.51.100.100: icmp_seq=12 ttl=51 time=132 ms
1240 bytes from 198.51.100.100: icmp_seq=15 ttl=51 time=132 ms
1240 bytes from 198.51.100.100: icmp_seq=17 ttl=51 time=113 ms
From 192.168.10.41: icmp_seq=18 Redirect Host(New nexthop: 192.168.10.32)
1240 bytes from 198.51.100.100: icmp_seq=19 ttl=51 time=133 ms
1240 bytes from 198.51.100.100: icmp_seq=27 ttl=51 time=134 ms
1240 bytes from 198.51.100.100: icmp_seq=29 ttl=51 time=94.9 ms
1240 bytes from 198.51.100.100: icmp_seq=35 ttl=51 time=103 ms
1240 bytes from 198.51.100.100: icmp_seq=36 ttl=51 time=77.2 ms
1240 bytes from 198.51.100.100: icmp_seq=37 ttl=51 time=85.2 ms
1240 bytes from 198.51.100.100: icmp_seq=38 ttl=51 time=86.1 ms
1240 bytes from 198.51.100.100: icmp_seq=40 ttl=51 time=97.7 ms
1240 bytes from 198.51.100.100: icmp_seq=43 ttl=51 time=68.2 ms
1240 bytes from 198.51.100.100: icmp_seq=44 ttl=51 time=82.7 ms
1240 bytes from 198.51.100.100: icmp_seq=47 ttl=51 time=78.5 ms
1240 bytes from 198.51.100.100: icmp_seq=48 ttl=51 time=51.6 ms
1240 bytes from 198.51.100.100: icmp_seq=55 ttl=51 time=93.4 ms
1240 bytes from 198.51.100.100: icmp_seq=59 ttl=51 time=70.0 ms
1240 bytes from 198.51.100.100: icmp_seq=60 ttl=51 time=52.3 ms
1240 bytes from 198.51.100.100: icmp_seq=61 ttl=51 time=87.3 ms
1240 bytes from 198.51.100.100: icmp_seq=63 ttl=51 time=60.0 ms
1240 bytes from 198.51.100.100: icmp_seq=72 ttl=51 time=55.5 ms
1240 bytes from 198.51.100.100: icmp_seq=79 ttl=51 time=125 ms
1240 bytes from 198.51.100.100: icmp_seq=81 ttl=51 time=79.8 ms
1240 bytes from 198.51.100.100: icmp_seq=83 ttl=51 time=38.0 ms
1240 bytes from 198.51.100.100: icmp_seq=91 ttl=51 time=220 ms
1240 bytes from 198.51.100.100: icmp_seq=95 ttl=51 time=191 ms
1240 bytes from 198.51.100.100: icmp_seq=96 ttl=51 time=40.9 ms
1240 bytes from 198.51.100.100: icmp_seq=98 ttl=51 time=55.2 ms
1240 bytes from 198.51.100.100: icmp_seq=99 ttl=51 time=63.0 ms
1240 bytes from 198.51.100.100: icmp_seq=103 ttl=51 time=53.9 ms
1240 bytes from 198.51.100.100: icmp_seq=105 ttl=51 time=56.5 ms
1240 bytes from 198.51.100.100: icmp_seq=109 ttl=51 time=30.8 ms
1240 bytes from 198.51.100.100: icmp_seq=114 ttl=51 time=25.0 ms
1240 bytes from 198.51.100.100: icmp_seq=118 ttl=51 time=40.2 ms
1240 bytes from 198.51.100.100: icmp_seq=119 ttl=51 time=58.8 ms
1240 bytes from 198.51.100.100: icmp_seq=122 ttl=51 time=30.6 ms
1240 bytes from 198.51.100.100: icmp_seq=124 ttl=51 time=35.5 ms
1240 bytes from 198.51.100.100: icmp_seq=125 ttl=51 time=42.3 ms
1240 bytes from 198.51.100.100: icmp_seq=127 ttl=51 time=29.0 ms
1240 bytes from 198.51.100.100: icmp_seq=128 ttl=51 time=27.8 ms
1240 bytes from 198.51.100.100: icmp_seq=137 ttl=51 time=36.3 ms
1240 bytes from 198.51.100.100: icmp_seq=143 ttl=51 time=66.3 ms
1240 bytes from 198.51.100.100: icmp_seq=146 ttl=51 time=28.9 ms
1240 bytes from 198.51.100.100: icmp_seq=148 ttl=51 time=27.0 ms
1240 bytes from 198.51.100.100: icmp_seq=149 ttl=51 time=47.0 ms
1240 bytes from 198.51.100.100: icmp_seq=156 ttl=51 time=22.8 ms
1240 bytes from 198.51.100.100: icmp_seq=166 ttl=51 time=32.2 ms
1240 bytes from 198.51.100.100: icmp_seq=168 ttl=51 time=59.4 ms
1240 bytes from 198.51.100.100: icmp_seq=172 ttl=51 time=23.9 ms
1240 bytes from 198.51.100.100: icmp_seq=178 ttl=51 time=27.2 ms
1240 bytes from 198.51.100.100: icmp_seq=184 ttl=51 time=196 ms
1240 bytes from 198.51.100.100: icmp_seq=189 ttl=51 time=27.2 ms
1240 bytes from 198.51.100.100: icmp_seq=191 ttl=51 time=53.2 ms
1240 bytes from 198.51.100.100: icmp_seq=196 ttl=51 time=33.6 ms
1240 bytes from 198.51.100.100: icmp_seq=198 ttl=51 time=80.0 ms
1240 bytes from 198.51.100.100: icmp_seq=205 ttl=51 time=47.7 ms
1240 bytes from 198.51.100.100: icmp_seq=208 ttl=51 time=107 ms
1240 bytes from 198.51.100.100: icmp_seq=217 ttl=51 time=51.6 ms
1240 bytes from 198.51.100.100: icmp_seq=219 ttl=51 time=44.9 ms
1240 bytes from 198.51.100.100: icmp_seq=220 ttl=51 time=23.4 ms
1240 bytes from 198.51.100.100: icmp_seq=224 ttl=51 time=22.2 ms
1240 bytes from 198.51.100.100: icmp_seq=225 ttl=51 time=42.2 ms
1240 bytes from 198.51.100.100: icmp_seq=226 ttl=51 time=44.4 ms
1240 bytes from 198.51.100.100: icmp_seq=234 ttl=51 time=25.7 ms
1240 bytes from 198.51.100.100: icmp_seq=239 ttl=51 time=28.2 ms
1240 bytes from 198.51.100.100: icmp_seq=240 ttl=51 time=47.7 ms
1240 bytes from 198.51.100.100: icmp_seq=242 ttl=51 time=24.6 ms
1240 bytes from 198.51.100.100: icmp_seq=244 ttl=51 time=43.2 ms
1240 bytes from 198.51.100.100: icmp_seq=247 ttl=51 time=41.4 ms
1240 bytes from 198.51.100.100: icmp_seq=250 ttl=51 time=47.1 ms
1240 bytes from 198.51.100.100: icmp_seq=262 ttl=51 time=30.2 ms
1240 bytes from 198.51.100.100: icmp_seq=263 ttl=51 time=35.3 ms
1240 bytes from 198.51.100.100: icmp_seq=264 ttl=51 time=46.5 ms
1240 bytes from 198.51.100.100: icmp_seq=265 ttl=51 time=46.5 ms
1240 bytes from 198.51.100.100: icmp_seq=268 ttl=51 time=119 ms
