PING 198.51.100.100 (198.51.100.100) 1232(1260) bytes of data.
1240 bytes from 198.51.100.100: icmp_seq=1 ttl=51 time=54.4 ms
1240 bytes from 198.51.100.100: icmp_seq=4 ttl=51 time=50.6 ms
1240 bytes from 198.51.100.100: icmp_seq=5 ttl=51 time=53.5 ms
1240 bytes from 198.51.100.100: icmp_seq=7 ttl=51 time=50.6 ms
1240 bytes from 198.51.100.100: icmp_seq=10 ttl=51 time=52.3 ms
1240 bytes from 198.51.100.100: icmp_seq=11 ttl=51 time=54.4 ms
1240 bytes from 198.51.100.100: icmp_seq=12 ttl=51 time=52.2 ms
1240 bytes from 198.51.100.100: icmp_seq=13 ttl=51 time=53.4 ms
1240 bytes from 198.51.100.100: icmp_seq=16 ttl=51 time=51.5 ms
1240 bytes from 198.51.100.100: icmp_seq=23 ttl=51 time=49.0 ms
1240 bytes from 198.51.100.100: icmp_seq=25 ttl=51 time=47.4 ms
1240 bytes from 198.51.100.100: icmp_seq=27 ttl=51 time=55.8 ms
1240 bytes from 198.51.100.100: icmp_seq=32 ttl=51 time=50.3 ms
1240 bytes from 198.51.100.100: icmp_seq=33 ttl=51 time=57.6 ms
1240 bytes from 198.51.100.100: icmp_seq=34 ttl=51 time=52.6 ms
1240 bytes from 198.51.100.100: icmp_seq=35 ttl=51 time=108 ms
1240 bytes from 198.51.100.100: icmp_seq=36 ttl=51 time=61.8 ms
1240 bytes from 198.51.100.100: icmp_seq=46 ttl=51 time=32.6 ms
1240 bytes from 198.51.100.100: icmp_seq=52 ttl=51 time=51.3 ms
1240 bytes from 198.51.100.100: icmp_seq=53 ttl=51 time=52.6 ms
1240 bytes from 198.51.100.100: icmp_seq=57 ttl=51 time=48.3 ms
1240 bytes from 198.51.100.100: icmp_seq=58 ttl=51 time=30.3 ms
1240 bytes from 198.51.100.100: icmp_seq=59 ttl=51 time=24.4 ms
1240 bytes from 198.51.100.100: icmp_seq=60 ttl=51 time=33.9 ms
1240 bytes from 198.51.100.100: icmp_seq=62 ttl=51 time=46.8 ms
1240 bytes from 198.51.100.100: icmp_seq=64 ttl=51 time=50.6 ms
1240 bytes from 198.51.100.100: icmp_seq=68 ttl=51 time=53.6 ms
1240 bytes from 198.51.100.100: icmp_seq=71 ttl=51 time=26.6 ms
1240 bytes from 198.51.100.100: icmp_seq=72 ttl=51 time=26.3 ms
1240 bytes from 198.51.100.100: icmp_seq=76 ttl=51 time=45.4 ms
1240 bytes from 198.51.100.100: icmp_seq=78 ttl=51 time=102 ms
