PING 2006::4f5:6ea6:1a63:bda3(2006::4f5:6ea6:1a63:bda3) 1232 data bytes
From 2001::1 icmp_seq=4 Destination unreachable: Address unreachable
From 2001::1 icmp_seq=5 Destination unreachable: Address unreachable
From 2001::1 icmp_seq=6 Destination unreachable: Address unreachable
From 2001::1 icmp_seq=7 Destination unreachable: Address unreachable
From 2001::1 icmp_seq=8 Destination unreachable: Address unreachable
From 2001::1 icmp_seq=9 Destination unreachable: Address unreachable
From 2001::1 icmp_seq=10 Destination unreachable: Address unreachable
From 2001::1 icmp_seq=11 Destination unreachable: Address unreachable
From 2001::1 icmp_seq=12 Destination unreachable: Address unreachable
From 2001::1 icmp_seq=13 Destination unreachable: Address unreachable
From 2001::1 icmp_seq=14 Destination unreachable: Address unreachable
From 2001::1 icmp_seq=15 Destination unreachable: Address unreachable
From 2001::1 icmp_seq=16 Destination unreachable: Address unreachable
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=18 ttl=41 time=3.00 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=19 ttl=41 time=3.07 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=20 ttl=41 time=2.98 ms
From 2001::1 icmp_seq=17 Destination unreachable: Address unreachable
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=21 ttl=41 time=2.96 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=22 ttl=41 time=3.01 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=23 ttl=41 time=3.04 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=24 ttl=41 time=3.07 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=25 ttl=41 time=2.84 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=26 ttl=41 time=2.98 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=27 ttl=41 time=3.24 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=28 ttl=41 time=3.02 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=29 ttl=41 time=2.81 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=30 ttl=41 time=3.15 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=31 ttl=41 time=3.07 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=32 ttl=41 time=3.45 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=33 ttl=41 time=2.98 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=34 ttl=41 time=3.17 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=35 ttl=41 time=2.96 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=36 ttl=41 time=3.16 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=37 ttl=41 time=3.03 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=38 ttl=41 time=3.09 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=39 ttl=41 time=2.97 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=40 ttl=41 time=3.04 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=41 ttl=41 time=2.98 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=42 ttl=41 time=3.15 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=43 ttl=41 time=3.04 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=44 ttl=41 time=3.05 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=45 ttl=41 time=3.21 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=46 ttl=41 time=2.95 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=47 ttl=41 time=3.38 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=48 ttl=41 time=2.92 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=49 ttl=41 time=3.28 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=50 ttl=41 time=2.96 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=51 ttl=41 time=3.01 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=52 ttl=41 time=2.79 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=53 ttl=41 time=3.16 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=54 ttl=41 time=3.09 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=55 ttl=41 time=3.04 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=56 ttl=41 time=2.98 ms
1240 bytes from 2006::4f5:6ea6:1a63:bda3: icmp_seq=57 ttl=41 time=2.98 ms
