PING 198.51.100.100 (198.51.100.100) 1232(1260) bytes of data.
1240 bytes from 198.51.100.100: icmp_seq=4 ttl=51 time=39.6 ms
1240 bytes from 198.51.100.100: icmp_seq=5 ttl=51 time=230 ms
1240 bytes from 198.51.100.100: icmp_seq=7 ttl=51 time=72.4 ms
1240 bytes from 198.51.100.100: icmp_seq=8 ttl=51 time=136 ms
1240 bytes from 198.51.100.100: icmp_seq=9 ttl=51 time=64.2 ms
1240 bytes from 198.51.100.100: icmp_seq=11 ttl=51 time=44.5 ms
1240 bytes from 198.51.100.100: icmp_seq=13 ttl=51 time=74.9 ms
1240 bytes from 198.51.100.100: icmp_seq=19 ttl=51 time=215 ms
1240 bytes from 198.51.100.100: icmp_seq=22 ttl=51 time=29.1 ms
1240 bytes from 198.51.100.100: icmp_seq=23 ttl=51 time=37.6 ms
1240 bytes from 198.51.100.100: icmp_seq=24 ttl=51 time=106 ms
1240 bytes from 198.51.100.100: icmp_seq=25 ttl=51 time=29.3 ms
1240 bytes from 198.51.100.100: icmp_seq=26 ttl=51 time=29.4 ms
1240 bytes from 198.51.100.100: icmp_seq=33 ttl=51 time=78.7 ms
1240 bytes from 198.51.100.100: icmp_seq=34 ttl=51 time=36.1 ms
1240 bytes from 198.51.100.100: icmp_seq=35 ttl=51 time=33.8 ms
1240 bytes from 198.51.100.100: icmp_seq=36 ttl=51 time=27.6 ms
1240 bytes from 198.51.100.100: icmp_seq=37 ttl=51 time=104 ms
1240 bytes from 198.51.100.100: icmp_seq=41 ttl=51 time=116 ms
1240 bytes from 198.51.100.100: icmp_seq=42 ttl=51 time=103 ms
1240 bytes from 198.51.100.100: icmp_seq=44 ttl=51 time=28.1 ms
1240 bytes from 198.51.100.100: icmp_seq=45 ttl=51 time=26.6 ms
1240 bytes from 198.51.100.100: icmp_seq=47 ttl=51 time=30.7 ms
1240 bytes from 198.51.100.100: icmp_seq=48 ttl=51 time=28.5 ms
1240 bytes from 198.51.100.100: icmp_seq=50 ttl=51 time=111 ms
1240 bytes from 198.51.100.100: icmp_seq=57 ttl=51 time=26.5 ms
1240 bytes from 198.51.100.100: icmp_seq=58 ttl=51 time=28.6 ms
1240 bytes from 198.51.100.100: icmp_seq=60 ttl=51 time=134 ms
1240 bytes from 198.51.100.100: icmp_seq=61 ttl=51 time=26.0 ms
1240 bytes from 198.51.100.100: icmp_seq=62 ttl=51 time=31.3 ms
1240 bytes from 198.51.100.100: icmp_seq=64 ttl=51 time=133 ms
1240 bytes from 198.51.100.100: icmp_seq=70 ttl=51 time=27.5 ms
1240 bytes from 198.51.100.100: icmp_seq=73 ttl=51 time=104 ms
1240 bytes from 198.51.100.100: icmp_seq=79 ttl=51 time=29.6 ms
1240 bytes from 198.51.100.100: icmp_seq=80 ttl=51 time=25.4 ms
1240 bytes from 198.51.100.100: icmp_seq=81 ttl=51 time=29.0 ms
1240 bytes from 198.51.100.100: icmp_seq=82 ttl=51 time=76.3 ms
1240 bytes from 198.51.100.100: icmp_seq=84 ttl=51 time=88.9 ms
1240 bytes from 198.51.100.100: icmp_seq=85 ttl=51 time=73.0 ms
1240 bytes from 198.51.100.100: icmp_seq=87 ttl=51 time=82.5 ms
1240 bytes from 198.51.100.100: icmp_seq=90 ttl=51 time=283 ms
