type Loss PLR min avg max std_dev
Network_Management 0 16.667 22.792 55.641 195.296 18.831
Network_Management 1 20.667 23.101 47.736 229.59 24.91023
Network_Management 2 42.0 22.613 54.275 339.063 36.55747
Network_Management 3 50.0 21.634 52.457 267.116 27.53712
Network_Management 5 72.5 23.389 69.605 1345.45 106.6508
Network_Management 10 90.667 22.905 88.558 409.218 55.82749
Distributed_Routing 0 19 23.676 1967.781 30498.539 5951.786
Distributed_Routing 1 44 23.462 2357.852 122501.811 13299.005
Distributed_Routing 2 62.1667 23.643 6607.939 159935.809 24167.470
Distributed_Routing 3 65.5 23.469 7280.379 140948.337 24006.447
Distributed_Routing 5 79.5 24.787 8541.98 174848.173 33672.5
Distributed_Routing 10 91.5 26.8 11074.99 179846 40509.2

