type No_of_nodes PLR min avg max std_dev
NetworkManagement 10 0 11.306 32.617 3353.563 174.886
NetworkManagement 20 0 15.212 61.548 693.297 95.114
NetworkManagement 30 1.5 17.310 51.167 610.388 71.354
NetworkManagement 40 8.16667 19.514 73.684 644.178 103.725
NetworkManagement 50 5.33333 21.182 63.367 522.294 72.343
NetworkManagement 60 11 23.566 72.421 554.668 84.763
DistributedRouting 10 5 10.862 51.041 488.430 74.209
DistributedRouting 20 5.83333 13.249 32.135 285.660 38.882
DistributedRouting 30 6.66667 14.750 102.598 4140.372 339.751
DistributedRouting 40 8.16667 16.084 354.732 12312.780 1505.253
DistributedRouting 50 25 17.618 2287.769 86709.774 9693.713
DistributedRouting 60 31.3333 21.308 5491.856 108664.224 19932.242
